"ID","householdID","communityID","Birth_Year","Birth_Month","ba003","Current_Hukou","Marital_Status","bf004","Adult_Edu","Age_2011","Edu_Group","Area_Type"
"01010410202","010104102","0101041",1951,10,2,"1","1",NA,0,60,1,"1"
"01010410401","010104104","0101041",1950,10,2,"1","1",NA,0,61,1,"1"
"01010410501","010104105","0101041",1945,2,2,"1","1",NA,0,66,1,"1"
"01010410502","010104105","0101041",1944,1,2,"1","1",NA,0,67,3,"1"
"01010410601","010104106","0101041",1931,4,2,"1","1",NA,0,80,1,"1"
"01010410602","010104106","0101041",1934,6,2,"1","1",NA,0,77,2,"1"
"01010410701","010104107","0101041",1932,4,2,"1","1",NA,0,79,1,"1"
"01010411002","010104110","0101041",1946,12,2,"1","1",NA,0,65,1,"1"
"01010411402","010104114","0101041",1949,11,2,"1","1",NA,0,62,1,"1"
"01010411702","010104117","0101041",1945,9,2,"1","1",NA,0,66,2,"1"
"01010420201","010104202","0101042",1929,9,2,"2","1",NA,0,82,2,"2"
"01010420202","010104202","0101042",1940,3,2,"2","1",NA,0,71,1,"2"
"01010420301","010104203","0101042",1946,6,2,"2","1",NA,0,65,2,"2"
"01010420701","010104207","0101042",1940,2,2,"2","1",NA,0,71,1,"2"
"01010420702","010104207","0101042",1944,1,2,"2","1",NA,0,67,1,"2"
"01010420901","010104209","0101042",1933,6,2,"2","5",1,0,78,1,"2"
"01010421001","010104210","0101042",1937,2,2,"2","5",1,0,74,1,"2"
"01010421201","010104212","0101042",1950,4,2,"2","5",1,0,61,1,"2"
"01010421301","010104213","0101042",1933,1,2,"2","5",4,0,78,2,"2"
"01010421402","010104214","0101042",1947,8,2,"1","1",NA,0,64,3,"2"
"01010421501","010104215","0101042",1936,6,1,"2","1",NA,0,75,3,"2"
"01010421502","010104215","0101042",1937,7,2,"2","1",NA,0,74,1,"2"
"01010421601","010104216","0101042",1941,3,2,"2","5",5,0,70,4,"2"
"01010422001","010104220","0101042",1947,12,2,"1","5",6,0,64,1,"2"
"01010422501","010104225","0101042",1939,1,2,"2","1",NA,0,72,2,"2"
"01010422701","010104227","0101042",1939,6,2,"2","5",1,0,72,1,"2"
"01010422801","010104228","0101042",1951,1,2,"1","2",NA,0,60,1,"2"
"01010422901","010104229","0101042",1949,7,2,"2","1",NA,0,62,2,"2"
"01010422902","010104229","0101042",1946,9,2,"2","1",NA,0,65,3,"2"
"01010423201","010104232","0101042",1944,10,2,"2","5",5,0,67,1,"2"
"01010430101","010104301","0101043",1946,3,1,"2","1",NA,0,65,2,"1"
"01010430401","010104304","0101043",1941,10,1,"1","5",1,0,70,1,"1"
"01010430701","010104307","0101043",1950,1,2,"1","1",NA,0,61,2,"1"
"01010431001","010104310","0101043",1951,4,1,"1","1",NA,0,60,1,"1"
"01010431002","010104310","0101043",1949,2,1,"1","1",NA,0,62,1,"1"
"01010431101","010104311","0101043",1947,5,1,"1","2",NA,0,64,1,"1"
"01010431102","010104311","0101043",1947,4,1,"1","2",NA,0,64,1,"1"
"01010431202","010104312","0101043",1947,3,2,"1","1",NA,0,64,2,"1"
"01010431401","010104314","0101043",1946,11,2,"1","1",NA,0,65,2,"1"
